GONGURA PRAWNS CURRY,430.0,450.0,480.0,450.0,430.0
PRAWNS BIRYANI,460.0,480.0,510.0,480.0,460.0
MUTTON FRY BONES,480.0,500.0,530.0,500.0,480.0
MUTTON KEEMA BALLS B/L,520.0,540.0,570.0,540.0,520.0
Alu 65,220.0,240.0,270.0,240.0,220.0
PEPPER MUTTON BONES,520.0,540.0,570.0,540.0,520.0
BASKET MUTTON BONES,520.0,540.0,570.0,540.0,520.0
MUTTON CURRY BONES,480.0,500.0,530.0,500.0,480.0
ANDHRA MUTTON CURRY BONES,520.0,540.0,570.0,540.0,520.0
KADAI MUTTON CURRY BONES,520.0,540.0,570.0,540.0,520.0
GONGURA MUTTON CURRY BONES,520.0,540.0,570.0,540.0,520.0
MUTTON KHEEMA CURRY,520.0,540.0,570.0,540.0,520.0
MUTTON FRY PICE BIRYANI,530.0,550.0,580.0,550.0,530.0
MUTTON KEEMA BIRYANI,530.0,550.0,580.0,550.0,530.0
MUTTON DUM BIRYANI,530.0,550.0,580.0,550.0,530.0
GOBI 65,220.0,240.0,270.0,240.0,220.0
GONGURA MUTTON BIRYANI,530.0,550.0,580.0,550.0,530.0
ULAVACHARU MUTTON BIRYANI,530.0,550.0,580.0,550.0,530.0
BONELESS CHICKEN BIRYANI,330.0,350.0,380.0,350.0,330.0
MOGHALAI CHICKEN BIRYAI B/L,410.0,430.0,460.0,430.0,410.0
DILKUSH BIRYANI B/L,410.0,430.0,460.0,430.0,410.0
TIKKA BIRYANI B/L,410.0,430.0,460.0,430.0,410.0
AVAKAYA CHICKEN BIRYANI B/L,330.0,350.0,380.0,350.0,330.0
CHICKEN FRY PICE BIRYANI,330.0,350.0,380.0,350.0,330.0
CHICKEN DUM BIRYANI,330.0,350.0,380.0,350.0,330.0
LOLLIPOP BIRYANI,350.0,370.0,400.0,370.0,350.0
CHILLI GOBI,200.0,220.0,250.0,220.0,200.0
RAJU GARI BIRYANI,410.0,430.0,460.0,430.0,410.0
RAMBO BIRYANI,400.0,430.0,460.0,430.0,410.0
WINGS BIRYANI,390.0,410.0,440.0,410.0,390.0
TANDOORI BIRYANI,420.0,440.0,470.0,440.0,420.0
RANGAMMA GARI KODI PULAO,450.0,470.0,500.0,470.0,450.0
GONGURA CHICKEN BIRYANI BONES,330.0,350.0,380.0,350.0,330.0
AVAKAYA CHICKEN BIRYANI BONES,330.0,350.0,380.0,350.0,330.0
ULAVACHARU CHICKEN BIRYANI,410.0,430.0,460.0,430.0,410.0
TANGADI KABAB HALF,280.0,300.0,330.0,300.0,280.0
TANGADI KABAB FULL,500.0,520.0,550.0,520.0,500.0
GOBI MANCHURIAN,230.0,250.0,280.0,250.0,230.0
TANDOORI CHICKEN HALF,390.0,410.0,440.0,410.0,390.0
